,id,nota_total,nota_c1,nota_c2,nota_c3,nota_c4,nota_c5,n_verbos_e_pronomes_1ps,n_verbos_e_pronomes_1ps_tok,n_pron_dem,n_pron_dem_tok,n_enclises,n_enclises_tok,n_sentencas_mq_70,n_erros_gramatica,n_erros_gramatica_tok,n_erros_ortografia,n_erros_ortografia_tok,n_erros_estilo_num_sent,n_marcadores_discursivos,n_marcadores_discursivos_num_sent,flesch_score,tam_avg_silabas,n_tokens,similaridade_proposta_bertimbau,similaridade_proposta_albertina,similaridade_proposta_bertugues,numero_palavras_diferentes,tam_avg_sentencas_caracteres,variancia_tam_sentencas,n_substantivos,n_adjetivos,n_adverbios,n_conjuncoes,similaridade_direitos_humanos_bertimbau,similaridade_direitos_humanos_albertina,similaridade_direitos_humanos_bertugues,similaridade_tit_1_constituicao_bertimbau,similaridade_tit_1_constituicao_albertina,similaridade_tit_1_constituicao_bertugues
0,1,400,80,80,80,80,80,0,0.0,4,0.011730205278592375,0,0.0,10,2,0.005865102639296188,9,0.026392961876832845,0.06666666666666667,47,3.1333333333333333,49.18114414414417,2.1216216216216215,341,0.9017845392227173,0.9850927591323853,0.9376858472824097,196,123.8,4283.885714285714,65,32,26,19,0.8320837020874023,0.965128481388092,0.8849842548370361,0.8112066984176636,0.9469395875930786,0.8764663934707642
1,2,400,160,40,40,120,40,0,0.0,2,0.005277044854881266,2,0.005277044854881266,10,0,0.0,3,0.0079155672823219,0.08333333333333333,44,3.6666666666666665,44.955477707006395,2.0859872611464967,379,0.8965364694595337,0.9842051863670349,0.913011372089386,194,166.75,11527.477272727272,66,22,23,24,0.8940237760543823,0.9705391526222229,0.9115238189697266,0.8670276403427124,0.9519720673561096,0.901081919670105
2,3,560,120,120,160,160,0,0,0.0,2,0.00558659217877095,2,0.00558659217877095,11,4,0.0111731843575419,2,0.00558659217877095,0.08333333333333333,48,4.0,38.41863095238099,2.168253968253968,358,0.9126904010772705,0.9835066199302673,0.9519509077072144,196,168.25,7231.113636363636,85,22,18,30,0.8617454767227173,0.9730810523033142,0.8985095620155334,0.8508657217025757,0.9553432464599609,0.8891640901565552
3,4,600,160,120,120,120,80,0,0.0,2,0.009345794392523364,1,0.004672897196261682,7,1,0.004672897196261682,0,0.0,0.0,25,3.125,41.92937500000002,2.15625,214,0.919986367225647,0.9856598973274231,0.945862889289856,124,153.625,3207.9821428571427,49,24,9,12,0.8456397652626038,0.9610037803649902,0.8826234340667725,0.8397511839866638,0.9461959600448608,0.8766070008277893
4,5,400,120,40,40,160,40,0,0.0,4,0.013245033112582781,1,0.0033112582781456954,6,4,0.013245033112582781,1,0.0033112582781456954,0.0,34,5.666666666666667,19.85088845654998,2.186770428015564,302,0.9159849286079407,0.9824848175048828,0.9372025728225708,153,281.3333333333333,4054.6666666666665,70,17,16,21,0.8571059703826904,0.9599617719650269,0.8732634782791138,0.8612384796142578,0.9493142366409302,0.889617383480072
5,6,440,160,40,40,160,40,0,0.0,5,0.019157088122605363,1,0.0038314176245210726,9,1,0.0038314176245210726,1,0.0038314176245210726,0.0,32,3.5555555555555554,39.060993117010845,2.1769911504424777,261,0.8618760108947754,0.9702027440071106,0.8896510601043701,144,162.33333333333334,3702.75,58,19,8,14,0.846621572971344,0.9611049294471741,0.8678795099258423,0.8386818170547485,0.9482386708259583,0.8794144988059998
6,7,640,160,120,120,120,120,0,0.0,0,0.0,0,0.0,7,0,0.0,1,0.004694835680751174,0.0,29,4.142857142857143,20.135000000000034,2.377659574468085,213,0.8415728807449341,0.962592601776123,0.8669553995132446,127,181.85714285714286,6659.476190476191,47,20,5,13,0.8099550008773804,0.9502240419387817,0.8541168570518494,0.7974029183387756,0.9353095293045044,0.8668800592422485
7,8,560,120,120,120,120,80,0,0.0,2,0.00516795865633075,1,0.002583979328165375,11,0,0.0,0,0.0,0.15384615384615385,43,3.3076923076923075,37.07950928381966,2.17816091954023,387,0.8907082080841064,0.9785544276237488,0.8978629112243652,182,171.69230769230768,9448.064102564103,97,32,19,17,0.856763482093811,0.9568797945976257,0.8907498717308044,0.8430520296096802,0.9425272941589355,0.8880509734153748
8,9,400,80,80,80,80,80,0,0.0,0,0.0,0,0.0,6,0,0.0,1,0.004524886877828055,0.16666666666666666,27,4.5,48.636496598639475,1.9744897959183674,221,0.9305169582366943,0.9859693646430969,0.9462594985961914,125,197.83333333333334,3894.9666666666667,44,11,13,17,0.8436769247055054,0.9527627825737,0.8644564747810364,0.8184654712677002,0.9335131049156189,0.8565477132797241
9,10,720,120,200,160,120,120,0,0.0,4,0.011661807580174927,0,0.0,10,1,0.0029154518950437317,1,0.0029154518950437317,0.1,46,4.6,23.50675581395351,2.302325581395349,343,0.8671358227729797,0.9688193202018738,0.8740928769111633,179,201.1,9761.655555555555,84,17,12,19,0.8640033006668091,0.9644503593444824,0.8727632761001587,0.8497952222824097,0.9441053867340088,0.8740947246551514
10,11,600,120,120,120,120,120,0,0.0,2,0.009216589861751152,0,0.0,7,1,0.004608294930875576,1,0.004608294930875576,0.2857142857142857,33,4.714285714285714,23.593846153846165,2.3282051282051284,217,0.8572238683700562,0.9727122187614441,0.8836904168128967,136,188.85714285714286,7363.476190476191,59,16,20,7,0.8175671100616455,0.95512455701828,0.8524896502494812,0.8178870677947998,0.9442575573921204,0.8541639447212219
11,12,360,120,40,40,120,40,0,0.0,3,0.015625,0,0.0,7,0,0.0,7,0.036458333333333336,0.0,23,2.875,58.001811797752836,1.9887640449438202,192,0.8532452583312988,0.9716041088104248,0.919792890548706,113,132.375,3242.5535714285716,53,7,10,14,0.7924441695213318,0.9449882507324219,0.8517388105392456,0.7629488706588745,0.9188646674156189,0.8441030979156494
12,13,760,160,160,120,160,160,0,0.0,3,0.010638297872340425,0,0.0,8,0,0.0,0,0.0,0.25,27,3.375,30.214081632653098,2.2122448979591836,282,0.9094153046607971,0.9740129113197327,0.9130122065544128,150,202.875,1192.125,74,18,7,18,0.8513739109039307,0.9512233734130859,0.8692718744277954,0.8464440703392029,0.9380853176116943,0.8789401650428772
13,14,560,120,160,120,120,40,0,0.0,1,0.002793296089385475,0,0.0,6,5,0.013966480446927373,0,0.0,0.16666666666666666,42,7.0,16.4015956887487,2.1135646687697163,358,0.9052760004997253,0.978864848613739,0.9429944157600403,187,334.5,26951.9,79,25,32,18,0.8359466195106506,0.9576395153999329,0.8717908263206482,0.8179230690002441,0.9320771098136902,0.861770749092102
14,15,0,0,0,0,0,0,0,0.0,2,0.009569377990430622,0,0.0,7,1,0.004784688995215311,1,0.004784688995215311,0.14285714285714285,32,4.571428571428571,63.1461290322581,1.8709677419354838,209,0.8467550873756409,0.9734016060829163,0.9154790639877319,117,153.28571428571428,3539.904761904762,38,11,10,13,0.776849091053009,0.9506605863571167,0.8257334232330322,0.758336067199707,0.9280959367752075,0.8286619186401367
15,16,520,40,80,120,160,120,0,0.0,2,0.005025125628140704,1,0.002512562814070352,8,2,0.005025125628140704,0,0.0,0.25,51,6.375,29.344256305638005,2.086053412462908,398,0.9070013761520386,0.9748532176017761,0.9354522228240967,194,263.375,10848.267857142857,86,30,21,28,0.8511765003204346,0.9561564326286316,0.8688030242919922,0.8382806777954102,0.9378970861434937,0.8708823919296265
16,17,800,160,160,160,160,160,0,0.0,0,0.0,1,0.002173913043478261,15,0,0.0,6,0.013043478260869565,0.0,58,3.8666666666666667,43.93677120822625,2.102827763496144,460,0.9336605072021484,0.9863216280937195,0.9551053047180176,207,165.2,4619.314285714286,108,16,20,26,0.8779770731925964,0.96073317527771,0.8861315250396729,0.8626137971878052,0.9501552581787109,0.8930686712265015
17,18,280,80,80,40,40,40,5,0.024509803921568627,3,0.014705882352941176,0,0.0,6,1,0.004901960784313725,8,0.0392156862745098,0.0,25,3.5714285714285716,54.17467032967035,1.989010989010989,204,0.8512991666793823,0.961033821105957,0.8777440786361694,106,154.0,3820.6666666666665,42,9,28,18,0.8079220652580261,0.950326144695282,0.8481763601303101,0.7756162285804749,0.923765242099762,0.8400952816009521
18,19,640,120,160,160,120,80,0,0.0,3,0.006772009029345372,0,0.0,13,4,0.009029345372460496,1,0.002257336343115124,0.1111111111111111,63,3.5,41.351400966183604,2.1739130434782608,443,0.8435065746307373,0.9723031520843506,0.8855134844779968,229,142.72222222222223,8108.683006535948,106,41,29,17,0.8197558522224426,0.957771897315979,0.868881106376648,0.8071918487548828,0.9371799826622009,0.8729778528213501
19,20,520,120,80,80,120,120,0,0.0,5,0.028735632183908046,0,0.0,6,2,0.011494252873563218,0,0.0,0.0,22,3.6666666666666665,52.536979830148624,2.0063694267515926,174,0.8726898431777954,0.9805352091789246,0.920795202255249,99,153.0,2171.2,31,12,12,16,0.8239378929138184,0.9671526551246643,0.8507577180862427,0.8001358509063721,0.9509648084640503,0.8543149828910828
20,21,560,120,160,120,120,40,0,0.0,2,0.005025125628140704,1,0.002512562814070352,8,2,0.005025125628140704,0,0.0,0.25,51,6.375,29.344256305638005,2.086053412462908,398,0.9070013761520386,0.9748532176017761,0.9354522228240967,194,263.375,10848.267857142857,86,30,21,28,0.8511765003204346,0.9561564326286316,0.8688030242919922,0.8382806777954102,0.9378970861434937,0.8708823919296265
21,22,600,120,120,120,120,120,0,0.0,1,0.0038461538461538464,4,0.015384615384615385,10,2,0.007692307692307693,0,0.0,0.1,33,3.3,31.3529349775785,2.295964125560538,260,0.8773724436759949,0.974389374256134,0.8949261903762817,158,154.0,3040.6666666666665,52,25,17,14,0.8511789441108704,0.9552377462387085,0.8724762201309204,0.8484227061271667,0.9459697604179382,0.8849438428878784
22,23,720,120,160,160,160,120,0,0.0,2,0.008032128514056224,1,0.004016064257028112,7,1,0.004016064257028112,0,0.0,0.125,32,4.0,25.100208333333377,2.310185185185185,249,0.8732485175132751,0.973132848739624,0.8859913349151611,143,187.5,6724.857142857143,56,31,13,7,0.8196765780448914,0.9503105878829956,0.8478574156761169,0.8024056553840637,0.9362398386001587,0.8468928337097168
23,24,0,0,0,0,0,0,0,0.0,5,0.028901734104046242,1,0.005780346820809248,5,0,0.0,4,0.023121387283236993,0.16666666666666666,26,4.333333333333333,57.45392156862748,1.9542483660130718,173,0.8827786445617676,0.9810936450958252,0.9080867767333984,100,151.5,5534.3,28,9,9,16,0.8598358035087585,0.966463565826416,0.8673328161239624,0.8131343126296997,0.942264974117279,0.8517805933952332
24,25,880,160,200,200,160,160,0,0.0,1,0.002967359050445104,1,0.002967359050445104,12,2,0.005934718100890208,1,0.002967359050445104,0.13333333333333333,35,2.3333333333333335,27.709241183162714,2.3754266211604094,337,0.8881836533546448,0.9764432907104492,0.8969942331314087,180,133.26666666666668,3862.209523809524,75,31,19,16,0.8744956254959106,0.9612610340118408,0.8960006833076477,0.8833591341972351,0.9564793705940247,0.9142783880233765
25,26,600,120,120,80,120,160,0,0.0,2,0.005449591280653951,0,0.0,11,1,0.0027247956403269754,1,0.0027247956403269754,0.09090909090909091,43,3.909090909090909,31.705774962742186,2.232786885245902,367,0.9379599094390869,0.9829361438751221,0.9558730125427246,196,180.9090909090909,7383.890909090909,95,26,6,24,0.8999316692352295,0.974099338054657,0.9114689826965332,0.8885317444801331,0.9577942490577698,0.9174672961235046
26,27,400,160,40,40,120,40,0,0.0,1,0.0058823529411764705,1,0.0058823529411764705,6,0,0.0,0,0.0,0.0,26,2.6,66.2022167832168,1.986013986013986,170,0.9013347029685974,0.9776599407196045,0.9299939274787903,103,84.9,1227.4333333333334,37,9,6,14,0.8491325974464417,0.9642812013626099,0.864651083946228,0.824911892414093,0.9406606554985046,0.8590769171714783
27,28,680,120,120,160,160,120,0,0.0,1,0.002793296089385475,0,0.0,6,5,0.013966480446927373,0,0.0,0.16666666666666666,42,7.0,16.4015956887487,2.1135646687697163,358,0.9052760004997253,0.978864848613739,0.9429944157600403,187,334.5,26951.9,79,25,32,18,0.8359466195106506,0.9576395153999329,0.8717908263206482,0.8179230690002441,0.9320771098136902,0.861770749092102
28,29,280,80,40,40,120,0,0,0.0,2,0.009569377990430622,0,0.0,7,1,0.004784688995215311,1,0.004784688995215311,0.14285714285714285,32,4.571428571428571,63.1461290322581,1.8709677419354838,209,0.8467550873756409,0.9734016060829163,0.9154790639877319,117,153.28571428571428,3539.904761904762,38,11,10,13,0.776849091053009,0.9506605863571167,0.8257334232330322,0.758336067199707,0.9280959367752075,0.8286619186401367
29,30,560,120,120,80,80,160,2,0.006802721088435374,4,0.013605442176870748,2,0.006802721088435374,10,1,0.003401360544217687,2,0.006802721088435374,0.1,36,3.6,45.90278313253015,2.0963855421686746,294,0.9335782527923584,0.9878945350646973,0.9456515908241272,167,160.0,4717.333333333333,69,27,16,20,0.8734121322631836,0.9628244638442993,0.8882842063903809,0.8541625142097473,0.9477466344833374,0.886947751045227
30,31,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,4,0,0.0,0,0.0,0.25,14,3.5,39.49927631578949,2.1894736842105265,105,0.8633533716201782,0.9655361771583557,0.9150746464729309,62,145.25,2095.5833333333335,28,10,11,6,0.8075187802314758,0.9404283761978149,0.840715229511261,0.7962420582771301,0.919314980506897,0.8415526747703552
31,32,960,200,160,200,200,200,0,0.0,4,0.008771929824561403,2,0.0043859649122807015,14,1,0.0021929824561403508,2,0.0043859649122807015,0.07142857142857142,61,4.357142857142857,38.95363636363639,2.1363636363636362,456,0.9311439990997314,0.9845215678215027,0.948820948600769,232,179.85714285714286,4354.747252747253,103,41,16,31,0.8751304149627686,0.9639160633087158,0.896476686000824,0.8718249797821045,0.95497727394104,0.8983405232429504
